,strand_lead,geptop,Nc,GC,L_aa,Gravy
SL1344_RS00005,1,0.0,,0.556,21,0.12381
SL1344_RS00010,1,0.5214227953026447,44.0,0.561,820,0.066708
SL1344_RS00015,1,0.06424518424998524,40.64,0.581,309,0.098058
SL1344_RS00020,1,0.26076936676150136,40.43,0.569,428,-0.07546699999999999
SL1344_RS00025,0,0.09743830755603712,43.01,0.508,257,-0.484825
SL1344_RS00030,0,0.033167751949079345,48.27,0.56,476,0.668067
SL1344_RS00035,1,0.0,40.15,0.542,317,-0.19653
SL1344_RS00040,1,0.0319464642693776,45.94,0.563,196,-0.083163
SL1344_RS00045,0,0.0,47.03,0.544,188,0.8984040000000001
SL1344_RS00050,0,0.0,42.48,0.544,237,-0.243882
SL1344_RS00055,0,0.0,49.32,0.5,134,-0.060448
SL1344_RS00060,1,0.6904297884244879,33.85,0.526,638,-0.433229
SL1344_RS00065,1,0.3541229980770928,43.66,0.542,379,-0.594987
SL1344_RS00070,1,0.0,58.07,0.408,315,-0.06127000000000001
SL1344_RS00075,1,0.0,43.67,0.409,114,0.557895
SL1344_RS00080,0,0.0,59.06,0.512,177,-0.30452
SL1344_RS00085,0,0.03228701600082403,55.23,0.385,147,-0.001361
SL1344_RS00090,1,0.0,38.62,0.512,699,-0.397568
SL1344_RS00095,1,0.032439243033769105,48.51,0.5489999999999999,998,0.017235
SL1344_RS00100,1,0.0,54.16,0.472,234,-0.013248
SL1344_RS00105,1,0.0,57.82,0.519,180,0.116111
SL1344_RS00110,1,0.0,45.71,0.51,228,0.027632
SL1344_RS00115,1,0.0,48.9,0.545,873,-0.339863
SL1344_RS00120,1,0.03231422308881119,51.36,0.502,335,-0.040896
SL1344_RS00125,1,0.0,58.39,0.495,181,-0.050829
SL1344_RS00130,1,0.0,56.01,0.56,172,0.037791000000000005
SL1344_RS00135,1,0.0,52.5,0.542,243,-0.092593
SL1344_RS00140,1,0.0,51.97,0.55,281,-0.005693999999999999
SL1344_RS00145,1,0.0,50.91,0.414,95,0.103158
SL1344_RS00150,0,0.0,57.0,0.371,149,0.17114100000000002
SL1344_RS00155,1,0.0,55.04,0.39,334,-0.081437
SL1344_RS00160,0,0.0,59.91,0.361,146,-0.05
SL1344_RS00165,1,0.0,52.18,0.464,572,-0.29021
SL1344_RS00170,0,0.0,43.41,0.468,523,-0.16348
SL1344_RS00175,0,0.0,55.41,0.444,253,-0.30079
SL1344_RS00180,1,0.03205499185199095,46.8,0.525,497,-0.5396380000000001
SL1344_RS00185,1,0.0,43.62,0.4970000000000001,396,-0.326515
SL1344_RS00190,1,0.0,48.53,0.5,417,-0.259472
SL1344_RS00195,1,0.0,45.96,0.4970000000000001,571,-0.25359
SL1344_RS00200,1,0.0643857073031467,44.66,0.565,388,1.009536
SL1344_RS00205,1,0.0,48.59,0.506,299,-0.042475
SL1344_RS00210,0,0.0,46.93,0.546,679,-0.497496
SL1344_RS00215,0,0.0,50.58,0.4920000000000001,457,0.689934
SL1344_RS00220,0,0.4852139017179837,30.24,0.471,87,-0.602299
SL1344_RS00225,1,0.0,52.13,0.479,71,0.340845
SL1344_RS00230,1,0.8698862744470045,47.11,0.569,312,0.024038
SL1344_RS00235,1,0.9191443393736592,40.61,0.5479999999999999,944,-0.312924
SL1344_RS00240,1,0.6123948338771472,39.93,0.532,166,0.7024100000000001
SL1344_RS00245,1,0.03369676874804632,42.68,0.55,149,-0.136242
SL1344_RS00250,1,0.6783732104983772,42.36,0.5760000000000001,316,-0.112026
SL1344_RS00255,1,0.0,51.91,0.482,400,-0.39975
SL1344_RS00260,1,0.0,46.2,0.568,306,0.227451
SL1344_RS00265,0,0.0,50.38,0.487,228,-0.348684
SL1344_RS00270,0,0.0,47.28,0.481,539,-0.101484
SL1344_RS00275,0,0.0,33.46,0.6409999999999999,433,0.8986139999999999
SL1344_RS00280,0,0.0,34.67,0.638,591,0.024873
SL1344_RS00285,0,0.0,35.83,0.5820000000000001,79,0.843038
SL1344_RS00290,0,0.032425442077904015,44.69,0.495,446,0.847982
SL1344_RS00295,1,0.0,51.56,0.536,348,0.114943
SL1344_RS00300,1,0.03369676874804632,40.47,0.574,97,0.147423
SL1344_RS00305,1,0.0,46.12,0.557,289,0.010726
SL1344_RS00310,1,0.0,44.7,0.5529999999999999,506,-0.07470299999999999
SL1344_RS00315,1,0.0,53.47,0.561,183,-0.238251
SL1344_RS00320,1,0.0,52.59,0.55,302,-0.034106
SL1344_RS00325,1,0.7432766138289617,41.26,0.5670000000000001,273,0.050549
SL1344_RS00335,1,0.25984683144391824,43.75,0.555,382,-0.248691
SL1344_RS00340,1,0.2594494491996539,33.79,0.591,1075,-0.178326
SL1344_RS00345,1,0.0,60.21,0.468,131,-0.342748
SL1344_RS00350,0,0.0,46.48,0.562,198,-0.00303
SL1344_RS00355,0,0.06416429866818563,39.3,0.5710000000000001,261,-0.027203
SL1344_RS00360,0,0.0,47.05,0.509,517,-0.19265
SL1344_RS00370,0,0.0,43.45,0.527,380,-0.218421
SL1344_RS00375,0,0.032425442077904015,43.15,0.5429999999999999,505,0.715842
SL1344_RS00385,1,0.0,48.1,0.522,256,-0.001172
SL1344_RS00390,1,0.0,46.8,0.591,313,-0.01885
SL1344_RS00395,1,0.06390928306611729,41.51,0.555,428,0.071262
SL1344_RS00400,1,0.0,46.58,0.551,95,-0.29579
SL1344_RS00405,1,0.06539688870532738,44.32,0.5429999999999999,446,0.707399
SL1344_RS00410,1,0.0,41.77,0.491,76,-0.538158
SL1344_RS00415,1,0.0,61.0,0.473,138,-0.261594
SL1344_RS00420,0,0.0,56.38,0.469,96,-0.15625
SL1344_RS00430,1,0.0,53.39,0.463,629,-0.661367
SL1344_RS00435,1,0.0,48.73,0.5379999999999999,176,-0.165909
SL1344_RS00440,1,0.0,43.58,0.583,620,0.483226
SL1344_RS00445,1,0.6644034556071503,46.56,0.539,159,-0.311321
SL1344_RS00450,0,0.0,43.7,0.564,282,-0.221631
SL1344_RS00455,0,0.0,50.9,0.555,125,-0.1448
SL1344_RS00460,0,0.16396145571684595,48.11,0.527,273,-0.123443
SL1344_RS00465,0,0.3266544464229804,44.45,0.5870000000000001,329,0.27386
SL1344_RS00470,0,0.4677595917677673,40.24,0.545,428,-0.368925
SL1344_RS00475,0,0.5810144641761941,44.67,0.528,786,-0.677354
SL1344_RS00480,1,0.031967834940616176,43.9,0.542,270,-0.355556
SL1344_RS00485,0,0.033167751949079345,43.56,0.574,219,-0.371233
SL1344_RS00490,0,0.0,39.06,0.5710000000000001,968,-0.373141
SL1344_RS00495,0,0.0,43.06,0.565,783,-0.433717
SL1344_RS00500,0,0.0,54.32,0.4970000000000001,206,-0.090291
SL1344_RS24895,1,0.03369676874804632,54.73,0.38,100,0.195
SL1344_RS00505,1,0.0,51.98,0.4270000000000001,139,-0.730935
SL1344_RS00510,0,0.0,42.62,0.5529999999999999,231,-0.259308
SL1344_RS00515,0,0.0,39.6,0.5589999999999999,500,-0.1966
SL1344_RS00520,0,0.0,40.3,0.61,569,-0.079438
SL1344_RS00525,1,0.0,45.49,0.541,281,-0.261922
SL1344_RS00530,1,0.0,43.81,0.575,255,0.747451
SL1344_RS00535,0,0.033167751949079345,42.76,0.5820000000000001,235,0.086383
SL1344_RS00540,0,0.033167751949079345,43.82,0.597,536,0.704851
SL1344_RS00545,0,0.0,43.55,0.551,327,-0.177982
SL1344_RS00550,0,0.03369676874804632,48.34,0.568,552,-0.326268
SL1344_RS00555,1,0.0,45.49,0.5670000000000001,40,-0.1925
SL1344_RS00560,0,0.16241244266012764,39.58,0.532,201,-0.19403
SL1344_RS00565,0,0.19485168569389671,38.64,0.591,466,-0.136481
SL1344_RS00570,0,0.16288385075328055,37.45,0.561,363,-0.122039
SL1344_RS00575,0,0.1301350933507586,42.51,0.5489999999999999,523,-0.227725
SL1344_RS00580,0,0.0,40.0,0.488,28,0.6785720000000001
SL1344_RS00585,1,0.0,46.88,0.482,314,-0.209554
SL1344_RS00590,1,0.0965108295795707,44.23,0.546,574,-0.027526
SL1344_RS00595,1,0.0974290828033772,46.65,0.54,163,-0.077301
SL1344_RS00600,1,0.0,46.21,0.5660000000000001,334,-0.340419
SL1344_RS00605,1,0.23728839900781235,61.0,0.522,152,-0.272368
SL1344_RS00610,1,0.5313324110881079,45.96,0.563,313,-0.354633
SL1344_RS00615,1,0.354842141904456,49.49,0.523,121,-0.007437999999999998
SL1344_RS00620,1,0.5476215879419063,44.99,0.5489999999999999,588,-0.147279
SL1344_RS00625,1,0.8380623077607529,45.96,0.588,495,-0.01899
SL1344_RS00630,1,0.8715917082838534,43.23,0.564,452,0.174557
SL1344_RS00635,1,0.8719322600152998,40.03,0.541,360,0.813056
SL1344_RS00640,1,0.8385664680384655,42.13,0.5820000000000001,438,0.015982
SL1344_RS00645,1,0.7421375776516128,42.97,0.546,414,0.7106279999999999
SL1344_RS00650,1,0.93674243636555,47.04,0.61,355,0.104789
SL1344_RS00655,1,0.7099476039003491,40.79,0.565,491,-0.105703
SL1344_RS00660,1,0.3905938602720702,43.51,0.542,306,0.119608
SL1344_RS00665,1,0.5495314926935674,49.77,0.525,276,-0.442754
SL1344_RS00670,1,0.8398608015628369,45.8,0.537,420,-0.017381
SL1344_RS00675,1,1.0,41.7,0.569,383,0.002611
SL1344_RS00680,1,0.6773504804023834,44.46,0.506,305,-0.037377
SL1344_RS00685,1,0.04817445796241556,57.07,0.575,174,-0.014943
SL1344_RS00690,1,0.7725145039787775,38.47,0.539,901,-0.462486
SL1344_RS00695,1,0.03369676874804632,48.17,0.524,131,-0.464122
SL1344_RS00705,0,0.0,34.08,0.556,63,-0.566667
SL1344_RS00710,0,0.0646383144263914,46.15,0.5329999999999999,247,-0.189069
SL1344_RS00715,0,0.8548713336065632,50.98,0.552,206,-0.137379
SL1344_RS00720,1,0.0319464642693776,45.75,0.5329999999999999,347,0.021902
SL1344_RS00725,0,0.033167751949079345,48.51,0.546,400,0.25375
SL1344_RS00730,0,0.03271249046023903,49.13,0.557,461,-0.096746
SL1344_RS00735,0,0.03162226706529326,39.29,0.54,145,0.216552
SL1344_RS00740,0,0.19473445433786574,40.57,0.58,297,-0.139057
SL1344_RS00745,1,0.0,52.16,0.5539999999999999,187,-0.348128
SL1344_RS00750,1,0.0,41.71,0.5579999999999999,284,0.500704
SL1344_RS00755,0,0.0,45.53,0.536,316,-0.653165
SL1344_RS00760,0,0.0,47.01,0.51,468,0.4950850000000001
SL1344_RS00765,0,0.0,39.74,0.557,457,0.796061
SL1344_RS00770,1,0.0,45.6,0.5660000000000001,254,-0.5212600000000001
SL1344_RS00775,1,0.2066816022609272,33.97,0.544,887,-0.441263
SL1344_RS00780,1,0.20757184525309927,32.44,0.556,629,-0.0407
SL1344_RS00785,1,0.4661487681751021,33.04,0.5429999999999999,474,-0.003586
SL1344_RS00790,1,0.0,39.2,0.564,94,-0.181915
SL1344_RS00795,0,0.0,52.04,0.569,263,-0.4927760000000001
SL1344_RS00805,1,0.0979709719961564,34.97,0.58,865,-0.106705
SL1344_RS00810,0,0.0,48.18,0.311,280,-0.551071
SL1344_RS00815,1,0.0,48.89,0.519,120,-0.513333
SL1344_RS00820,1,0.0,44.25,0.5760000000000001,317,0.933439
SL1344_RS00825,1,0.03369676874804632,45.6,0.579,423,0.113002
SL1344_RS00830,1,0.0970616895139807,44.0,0.5589999999999999,327,0.103975
SL1344_RS00835,1,0.0,48.08,0.552,255,-0.019608
SL1344_RS00840,0,0.0,38.51,0.4970000000000001,264,-0.300757
SL1344_RS00845,0,0.0,39.79,0.535,286,-0.136713
SL1344_RS00850,0,0.0,49.11,0.475,115,-0.034783
SL1344_RS00855,1,0.03228701600082403,40.68,0.565,536,-0.186567
SL1344_RS00860,0,0.03228701600082403,43.53,0.578,796,-0.036181
SL1344_RS00865,1,0.22445501610300275,40.03,0.506,178,-0.075843
SL1344_RS00870,0,0.2869652073919993,46.94,0.503,220,-0.13863599999999998
SL1344_RS00875,1,0.0,47.09,0.498,308,-0.244481
SL1344_RS00880,1,0.0,43.75,0.544,256,1.005469
SL1344_RS00885,0,0.0,53.94,0.527,359,-0.371588
SL1344_RS00890,0,0.0,42.6,0.5539999999999999,848,-0.508373
SL1344_RS00895,0,0.0,55.34,0.532,227,-0.212775
SL1344_RS00900,0,0.0,47.44,0.525,179,0.037989
SL1344_RS00905,1,0.0,46.07,0.514,146,-0.099315
SL1344_RS00910,1,0.0,45.39,0.504,409,-0.261858
SL1344_RS00915,0,0.06464255079395015,41.23,0.537,126,-0.104762
SL1344_RS00920,0,0.3901810563935231,42.04,0.546,284,-0.105282
SL1344_RS00925,0,0.3574849698689505,43.08,0.575,263,0.165399
SL1344_RS00930,0,0.5339464516102078,45.29,0.579,159,-0.106289
SL1344_RS00935,0,0.25800455080808904,43.45,0.562,472,-0.537076
SL1344_RS00940,0,0.0,49.84,0.578,313,-0.238658
SL1344_RS00945,0,0.06531903581333959,46.02,0.541,151,-0.878808
SL1344_RS00950,0,0.0,50.85,0.504,234,-0.256838
SL1344_RS00955,0,0.0,40.11,0.631,176,-0.223295
SL1344_RS00960,1,0.0,47.05,0.593,824,-0.16225699999999998
SL1344_RS00965,1,0.1292212814706524,39.23,0.568,840,-0.415952
SL1344_RS00970,1,0.0,46.31,0.511,729,-0.484362
SL1344_RS00975,1,0.03271249046023903,38.43,0.591,265,0.030566000000000006
SL1344_RS00980,1,0.0,39.83,0.596,296,0.020608
SL1344_RS00985,1,0.03268439824508835,43.04,0.613,679,0.871281
SL1344_RS00990,1,0.0,34.23,0.523,186,0.167204
SL1344_RS00995,1,0.032358898126707634,43.91,0.55,885,-0.563955
SL1344_RS01000,1,0.0,43.49,0.544,250,-0.2548
SL1344_RS01005,1,0.0,43.5,0.561,170,0.153529
SL1344_RS01010,1,0.0,50.33,0.487,158,-0.038608
SL1344_RS01015,1,0.03210930681619467,60.56,0.5489999999999999,176,0.297727
SL1344_RS01020,1,0.0,52.6,0.498,279,-0.100717
SL1344_RS01025,0,0.4824219577709928,39.57,0.595,426,0.185681
SL1344_RS01030,1,0.0,42.97,0.573,473,0.6659619999999999
SL1344_RS01035,1,0.4193413710569106,31.12,0.509,114,-0.08859700000000001
SL1344_RS01040,0,0.0,43.5,0.5670000000000001,207,0.942995
SL1344_RS01045,0,0.0,43.8,0.5579999999999999,266,0.026691000000000003
SL1344_RS01050,0,0.06433950872174472,43.77,0.5720000000000001,232,0.27069
SL1344_RS01055,1,0.06390928306611729,47.52,0.4920000000000001,505,-0.470099
SL1344_RS01060,1,0.0962884721221926,38.25,0.55,475,-0.018526
SL1344_RS01065,1,0.033167751949079345,41.46,0.5579999999999999,385,-0.226234
SL1344_RS01070,0,0.0,46.98,0.471,128,-0.799219
