,strand_lead,geptop,Nc,GC,L_aa,Gravy
BTH_RS00005,1,0.1607493272364692,47.41,0.635,395,-0.552405
BTH_RS00010,0,0.0,37.98,0.638,347,-0.210663
BTH_RS00015,0,0.0,39.29,0.672,126,-0.065873
BTH_RS00020,0,0.03929683026761068,35.48,0.696,202,-0.318812
BTH_RS00025,1,0.3598427458699701,31.87,0.6729999999999999,399,0.013784
BTH_RS00030,1,0.0,31.37,0.648,343,0.046647
BTH_RS00035,0,0.0,29.41,0.7,69,0.910145
BTH_RS29230,0,0.0,44.09,0.6759999999999999,182,-0.121429
BTH_RS00040,0,0.0,37.97,0.653,143,-0.301399
BTH_RS00045,0,0.039548017490471515,37.85,0.679,215,-0.173023
BTH_RS00050,0,0.07939319837219974,32.89,0.677,216,-0.081482
BTH_RS00055,1,0.0,32.13,0.711,205,-0.114634
BTH_RS00060,1,0.07961026629861657,39.28,0.633,159,-0.8779879999999999
BTH_RS00065,0,0.0,33.95,0.674,330,-0.163333
BTH_RS00070,0,0.07958415020504402,30.93,0.674,361,-0.0759
BTH_RS00075,1,0.0,33.88,0.6859999999999999,305,0.04
BTH_RS00080,1,0.0,32.51,0.6829999999999999,225,0.4648890000000001
BTH_RS00085,1,0.03965787807741555,36.38,0.654,207,-0.045894
BTH_RS00090,0,0.0,31.69,0.708,154,0.07727300000000001
BTH_RS00095,0,0.0,30.88,0.662,390,-0.337692
BTH_RS00100,0,0.0,28.57,0.6509999999999999,261,0.154023
BTH_RS00105,0,0.0,34.12,0.636,246,-0.107317
BTH_RS00110,1,0.039756878664472035,34.05,0.6970000000000001,198,0.715151
BTH_RS00115,0,0.04036101820121266,29.46,0.679,78,-0.060256
BTH_RS00120,1,0.039682894908362056,39.71,0.6729999999999999,105,-0.495238
BTH_RS00125,0,0.0,35.33,0.687,275,-0.369818
BTH_RS00130,0,0.0,32.54,0.7020000000000001,235,-0.493617
BTH_RS00135,1,0.0,48.94,0.655,112,-0.807143
BTH_RS00140,1,0.0,44.33,0.62,468,-0.138034
BTH_RS00145,1,0.0,48.57,0.54,66,-0.33484899999999995
BTH_RS00150,1,0.03969848197675704,41.46,0.633,283,0.062544
BTH_RS00155,1,0.03929683026761068,42.64,0.657,277,-0.14945799999999998
BTH_RS00160,1,0.0796825980856509,40.27,0.654,647,-0.062442
BTH_RS00165,1,0.11860172642255425,41.88,0.672,329,-0.002736
BTH_RS00170,0,0.0,32.4,0.688,206,0.8305819999999999
BTH_RS00175,1,0.0,34.98,0.6859999999999999,297,-0.055892
BTH_RS00180,0,0.0,32.79,0.669,251,-0.132271
BTH_RS00185,0,0.0,32.98,0.667,155,0.06129
BTH_RS00190,1,0.08031337277495917,47.45,0.667,76,-0.328947
BTH_RS00195,1,0.0,34.02,0.705,526,0.126046
BTH_RS00200,0,0.0,38.05,0.693,138,-0.752174
BTH_RS29240,1,0.0,35.23,0.705,61,-0.040984
BTH_RS00205,1,0.040143950274795816,39.88,0.615,78,-0.188462
BTH_RS00210,1,0.07943977357283409,33.56,0.6659999999999999,307,-0.089576
BTH_RS00215,0,0.0,36.82,0.6629999999999999,267,0.06217200000000001
BTH_RS00220,0,0.6419987476352941,33.08,0.6579999999999999,242,-0.217769
BTH_RS00225,0,0.0,31.54,0.6829999999999999,307,-0.061889
BTH_RS00230,1,0.0,34.38,0.6779999999999999,407,-0.267322
BTH_RS00235,1,0.07965836184445554,32.55,0.66,237,0.05907100000000001
BTH_RS00240,1,0.0799307099642402,33.22,0.654,218,0.038991000000000005
BTH_RS00245,1,0.3210473620335432,34.13,0.718,452,0.169027
BTH_RS00250,1,0.039756878664472035,33.02,0.677,261,-0.00728
BTH_RS00255,1,0.08062462552102066,31.0,0.648,128,-0.410938
BTH_RS00260,1,0.0,36.33,0.685,452,0.752655
BTH_RS00265,0,0.0,33.08,0.638,82,-0.60122
BTH_RS00270,0,0.039908121257705716,32.87,0.626,205,0.6814640000000001
BTH_RS00275,0,0.2784762937420132,39.58,0.636,142,-0.026760000000000003
BTH_RS00280,0,0.0,43.06,0.619,423,-0.095981
BTH_RS00285,0,0.07923091239883356,41.27,0.6629999999999999,460,-0.093261
BTH_RS00290,0,0.0,34.26,0.618,69,0.743478
BTH_RS00295,0,0.0,37.15,0.664,1067,0.35164
BTH_RS00300,0,0.04033490210764008,38.65,0.6829999999999999,357,0.157143
BTH_RS00305,0,0.07980960443768921,42.2,0.616,111,-0.173874
BTH_RS00310,0,0.0,47.64,0.643,187,0.149198
BTH_RS00315,1,0.19867840002526124,45.98,0.635,234,-0.02265
BTH_RS00320,1,0.04033490210764008,38.92,0.653,789,0.36616
BTH_RS29245,0,0.04013458059517938,41.15,0.618,177,-0.08644099999999999
BTH_RS00330,0,0.0,46.11,0.616,164,0.011585
BTH_RS00335,1,0.08050496847600848,44.41,0.64,237,-0.554008
BTH_RS29250,1,0.04039454679301965,36.69,0.7290000000000001,91,-0.081319
BTH_RS00340,1,0.0,42.0,0.659,245,0.095102
BTH_RS00345,0,0.0,37.52,0.687,130,-0.536154
BTH_RS00350,1,0.0,37.33,0.667,116,-0.191379
BTH_RS00355,1,0.03953147442496616,42.16,0.644,317,0.385173
BTH_RS00360,1,0.08062462552102066,41.79,0.645,62,-0.329032
BTH_RS00370,1,0.0,30.88,0.6509999999999999,317,-0.064038
BTH_RS00375,0,0.0,35.28,0.6679999999999999,396,0.89899
BTH_RS00380,0,0.03924924809740392,32.09,0.6940000000000001,325,-0.172308
BTH_RS00385,1,0.03929683026761068,31.3,0.693,1971,-0.202385
BTH_RS00390,0,0.0,32.32,0.674,133,-0.076692
BTH_RS00395,1,0.07943141086279007,33.74,0.674,645,-0.074884
BTH_RS00400,1,0.03929683026761068,31.37,0.679,731,-0.477565
BTH_RS29280,0,0.0,54.14,0.511,338,0.034911000000000005
