,strand_lead,geptop,Nc,GC,L_aa,Gravy
BRESU_RS00010,1,0.8530938661138273,29.72,0.701,478,-0.15272
BRESU_RS00015,1,0.9246378144990366,32.04,0.677,372,-0.056183
BRESU_RS16660,0,0.0,34.12,0.7559999999999999,323,-0.33684200000000003
BRESU_RS00025,1,0.07404532185546994,30.57,0.759,381,-0.160892
BRESU_RS00030,0,0.03705120139205805,32.03,0.684,407,1.0493860000000002
BRESU_RS00035,1,0.962840456643475,28.24,0.669,815,-0.326626
BRESU_RS00040,0,0.0,30.11,0.6890000000000001,278,-0.065468
BRESU_RS00045,0,0.0,33.94,0.7090000000000001,321,-0.26105900000000004
BRESU_RS00050,1,0.0,31.73,0.7440000000000001,499,0.140481
BRESU_RS00055,0,0.0,31.65,0.6759999999999999,311,-0.338585
BRESU_RS00060,0,0.036683228385535636,35.02,0.706,177,-0.006215
BRESU_RS00065,0,0.036133786763414416,32.8,0.698,287,-0.242509
BRESU_RS00070,1,0.03659225654107354,33.07,0.726,277,0.398917
BRESU_RS00075,1,0.036683228385535636,33.21,0.696,683,0.993997
BRESU_RS16665,0,0.0,33.66,0.723,153,0.143137
BRESU_RS00085,1,0.0,27.46,0.667,612,-0.298039
BRESU_RS00090,0,0.2621899041426941,35.56,0.72,251,0.389641
BRESU_RS00095,0,0.0,34.95,0.643,129,-0.09845
BRESU_RS00100,1,0.03720382774155837,27.93,0.695,188,0.114894
BRESU_RS00105,1,0.0,30.27,0.695,433,-0.181755
BRESU_RS00110,1,0.0,30.38,0.68,385,-0.115325
BRESU_RS00115,0,0.1887776369960113,29.91,0.7020000000000001,466,-0.095494
BRESU_RS00120,0,0.07290550217038005,33.56,0.726,317,-0.32965300000000003
BRESU_RS00125,1,0.7406999753012451,27.64,0.6579999999999999,951,-0.515668
BRESU_RS00130,1,0.03686463435246836,33.83,0.679,388,-0.16134
BRESU_RS00135,0,0.0,30.5,0.7340000000000001,301,-0.279402
BRESU_RS00140,1,0.0,29.32,0.757,70,-0.398572
BRESU_RS00145,1,0.0,42.63,0.721,61,-0.080328
BRESU_RS00150,0,0.0,32.86,0.6970000000000001,550,-0.162727
BRESU_RS00155,0,0.0,28.05,0.6809999999999999,500,-0.0722
BRESU_RS00160,0,0.03661937705578162,35.19,0.688,190,-0.224737
BRESU_RS00165,0,0.0,29.22,0.657,68,1.010294
BRESU_RS00170,1,0.0,32.89,0.674,374,-0.270856
BRESU_RS00175,1,0.0,33.98,0.6579999999999999,371,-0.220485
BRESU_RS00180,0,0.1861955054682937,27.45,0.6409999999999999,463,-0.162419
BRESU_RS00185,1,0.14783602621537362,32.39,0.6990000000000001,341,-0.036657
BRESU_RS00190,0,0.07538984989914843,35.42,0.6940000000000001,446,-0.287668
BRESU_RS00195,1,0.0,33.78,0.725,1058,0.025709
BRESU_RS00200,1,0.0,38.13,0.6459999999999999,64,0.26875
BRESU_RS00205,1,0.0,32.5,0.728,120,0.016666
BRESU_RS00210,1,0.0,31.74,0.696,90,0.577778
BRESU_RS00215,0,0.0,36.11,0.725,236,-0.12754200000000002
BRESU_RS00220,0,0.0,36.52,0.7340000000000001,169,0.083432
BRESU_RS00225,0,0.33554159917392146,32.96,0.7170000000000001,532,0.044925
BRESU_RS00230,0,0.5213713779767788,35.28,0.677,258,-0.19845
BRESU_RS00235,0,0.0,37.51,0.6890000000000001,235,-0.073192
BRESU_RS00240,1,0.0370641792355032,35.52,0.693,100,0.019
BRESU_RS00245,1,0.0,31.01,0.6729999999999999,262,0.127863
BRESU_RS00250,0,0.03705120139205805,32.44,0.6859999999999999,423,-0.055083000000000014
BRESU_RS00260,1,0.0,36.68,0.754,84,-0.495238
BRESU_RS00265,1,0.0,41.04,0.6990000000000001,124,-0.379032
BRESU_RS00270,0,0.0,42.0,0.705,122,-0.422951
BRESU_RS16670,0,0.03720382774155837,35.68,0.684,269,-0.047212
BRESU_RS00280,0,0.0,48.36,0.595,134,-0.498508
BRESU_RS00285,0,0.0,49.67,0.58,147,0.05102
BRESU_RS17040,1,0.036601960723142916,45.23,0.56,134,0.525373
BRESU_RS16680,1,0.0,50.78,0.5870000000000001,201,1.061194
BRESU_RS00295,0,0.0,42.65,0.6509999999999999,311,0.89164
BRESU_RS00300,0,0.0,42.26,0.639,561,-0.327986
BRESU_RS00315,0,0.0,29.17,0.703,111,0.299099
BRESU_RS00320,0,0.03661937705578162,39.35,0.6759999999999999,174,0.906322
BRESU_RS00330,0,0.0,33.43,0.675,124,-0.016128999999999998
BRESU_RS00335,0,0.0,31.05,0.7090000000000001,188,-0.189362
BRESU_RS00340,0,0.0,34.18,0.677,1108,0.032491
BRESU_RS00345,0,0.0,34.51,0.725,131,-0.017557
BRESU_RS00350,0,0.0,36.51,0.706,220,0.013182
BRESU_RS00355,0,0.0,32.82,0.6759999999999999,224,-0.12008900000000003
BRESU_RS00360,0,0.03703741720227673,46.48,0.632,78,0.314102
BRESU_RS00365,0,0.0,37.75,0.6709999999999999,913,-0.387075
BRESU_RS17235,0,0.0,33.65,0.6729999999999999,50,0.49
BRESU_RS16685,0,0.0,35.84,0.7,158,-0.27468400000000004
BRESU_RS00380,0,0.0,30.39,0.6970000000000001,429,0.125175
BRESU_RS00385,0,0.0,39.66,0.688,143,-0.027273
BRESU_RS00390,0,0.0,35.16,0.6779999999999999,229,-0.403057
BRESU_RS00395,0,0.0,38.16,0.6759999999999999,103,-0.071845
BRESU_RS00400,0,0.0,32.22,0.713,145,-0.452414
BRESU_RS00405,0,0.03662093003602112,31.24,0.6579999999999999,114,0.140351
BRESU_RS00410,0,0.0,31.69,0.68,672,-0.370982
