,strand_lead,geptop,Nc,GC,L_aa,Gravy
BTH_RS12195,0,0.0730342846232863,32.36,0.628,371,-0.107008
BTH_RS12200,0,0.03581252353922924,31.21,0.653,404,0.908911
BTH_RS30795,0,0.0,52.48,0.594,60,-0.853333
BTH_RS12205,0,0.03609743065793808,34.68,0.713,654,-0.019419
BTH_RS12210,1,0.2518679119777882,34.25,0.62,92,-0.38587
BTH_RS12215,0,0.0,31.38,0.667,438,-0.271461
BTH_RS12220,0,0.0,33.75,0.62,158,-0.413924
BTH_RS12225,1,0.0,33.59,0.66,751,-0.107856
BTH_RS12230,1,0.0,28.29,0.696,497,-0.085513
BTH_RS12235,1,0.03609743065793808,29.09,0.6940000000000001,405,0.341975
BTH_RS12240,0,0.0,29.69,0.718,136,0.389706
BTH_RS12245,1,0.0,34.56,0.624,150,-0.496667
BTH_RS12250,1,0.03697974430811031,37.06,0.711,196,-0.159184
BTH_RS12255,1,0.0,32.73,0.706,134,0.363433
BTH_RS12260,1,0.035693906066080715,30.28,0.711,242,-0.258264
BTH_RS12265,1,0.035844171922807165,34.03,0.708,383,0.042037
BTH_RS12270,1,0.0,29.61,0.732,470,0.12
BTH_RS12275,1,0.0,32.11,0.7040000000000001,168,-0.058929
BTH_RS12280,1,0.0,33.47,0.7340000000000001,263,0.168821
BTH_RS12285,0,0.0,34.1,0.727,539,-0.040631
BTH_RS12290,0,0.0,31.87,0.738,93,-0.158065
BTH_RS12295,1,0.0,32.37,0.705,167,-0.080838
BTH_RS12300,1,0.0,30.31,0.6679999999999999,520,0.755577
BTH_RS12305,0,0.0,30.15,0.6920000000000001,307,0.109772
BTH_RS12310,1,0.0364716311177893,28.73,0.754,149,0.7946310000000001
BTH_RS12315,1,0.03609743065793808,30.94,0.688,240,0.948333
BTH_RS33545,1,0.0,40.88,0.785,90,-0.677778
BTH_RS12320,1,0.0364716311177893,33.17,0.672,180,-0.092778
BTH_RS12325,1,0.0,30.88,0.632,332,-0.081024
BTH_RS12330,1,0.0364716311177893,32.47,0.691,165,0.025455
BTH_RS12335,1,0.0,30.99,0.768,171,0.4
BTH_RS12340,1,0.03534882187170887,29.37,0.66,253,0.768379
BTH_RS12345,1,0.036671271320162825,26.52,0.685,90,1.172222
BTH_RS12350,1,0.0,33.92,0.6829999999999999,260,1.15
BTH_RS12355,0,0.0,32.6,0.713,143,-0.292308
BTH_RS12360,1,0.0,31.49,0.7290000000000001,299,-0.156522
BTH_RS12365,1,0.0,32.22,0.662,337,0.023739
BTH_RS12370,1,0.0,30.69,0.657,265,-0.104528
BTH_RS12375,1,0.0,31.84,0.67,285,0.811228
BTH_RS12380,1,0.0,32.0,0.706,459,0.103486
BTH_RS12385,1,0.036562653505497006,30.53,0.6759999999999999,225,-0.051556
BTH_RS12390,1,0.0,28.13,0.653,375,-0.3136
BTH_RS12395,1,0.036562653505497006,30.42,0.68,682,-0.230938
BTH_RS12400,1,0.03609743065793808,30.33,0.674,1009,-0.308622
BTH_RS12405,1,0.0,34.78,0.665,366,-0.059016
BTH_RS12410,1,0.0,30.43,0.672,319,-0.146082
BTH_RS12415,0,0.0,29.63,0.7190000000000001,243,0.27572
BTH_RS12420,0,0.0,29.77,0.711,240,0.320416
BTH_RS12425,0,0.0,33.11,0.7340000000000001,349,0.853009
BTH_RS12430,0,0.0,30.23,0.7240000000000001,292,0.974657
BTH_RS12435,0,0.03633763232641901,32.17,0.669,419,-0.167542
BTH_RS12440,0,0.07161021388483266,31.59,0.696,501,0.062275
BTH_RS12445,0,0.0,36.5,0.664,130,-0.306154
BTH_RS12450,0,0.03650716779161441,32.23,0.677,263,-0.143346
BTH_RS12455,0,0.0,28.83,0.736,265,0.143773
BTH_RS12460,0,0.03534882187170887,30.27,0.7120000000000001,556,-0.130576
BTH_RS12465,1,0.0,33.75,0.652,113,-0.411505
BTH_RS12470,1,0.0,30.12,0.703,392,0.127551
BTH_RS12475,0,0.0,29.52,0.693,329,0.02462
BTH_RS12480,0,0.036524535970910384,32.16,0.722,278,-0.002159
BTH_RS12485,0,0.0,31.51,0.725,364,0.088462
BTH_RS12490,1,0.0,29.75,0.6679999999999999,378,-0.135714
BTH_RS12495,0,0.0,37.19,0.718,85,-0.727059
BTH_RS12500,1,0.0,27.89,0.7140000000000001,401,0.099252
BTH_RS12505,1,0.0,30.43,0.708,707,0.123055
BTH_RS12510,0,0.0,31.33,0.742,62,-0.608065
BTH_RS12515,1,0.03591978180563785,34.58,0.722,377,0.07241399999999999
BTH_RS12520,0,0.0,35.36,0.67,188,0.06117
BTH_RS30835,0,0.0,38.81,0.684,99,-1.235354
BTH_RS12525,0,0.0,41.51,0.6579999999999999,153,-0.151634
BTH_RS12530,1,0.036021972421716814,30.9,0.6759999999999999,146,-0.263699
BTH_RS12535,1,0.0,36.24,0.6920000000000001,131,-0.219084
BTH_RS12540,0,0.0,35.04,0.755,250,-0.0224
BTH_RS12545,0,0.03656855093283752,36.59,0.688,171,-0.297661
BTH_RS12550,1,0.035693906066080715,34.24,0.713,361,-0.369806
BTH_RS12555,1,0.03591978180563785,32.45,0.644,175,0.8462860000000001
BTH_RS30840,0,0.0,51.12,0.463,305,-0.371148
BTH_RS12560,1,0.0,43.81,0.639,147,-0.8387760000000001
BTH_RS12565,1,0.03601929035935367,56.53,0.539,521,-0.433206
BTH_RS12580,0,0.0,48.91,0.61,135,-0.191852
BTH_RS30850,1,0.0,52.78,0.606,83,-0.5048189999999999
BTH_RS12585,1,0.0,32.08,0.67,386,0.24222800000000005
BTH_RS12590,1,0.0,,0.634,51,0.368628
BTH_RS12600,1,0.0,36.92,0.573,186,-0.53172
BTH_RS12605,1,0.0,35.73,0.632,114,-0.4754390000000001
BTH_RS12610,1,0.0,32.1,0.672,184,-0.358152
BTH_RS12615,0,0.0,35.27,0.674,138,-0.221015
BTH_RS12620,1,0.0,33.41,0.708,364,-0.16730799999999998
BTH_RS12625,1,0.0,35.76,0.74,313,0.116613
BTH_RS12630,1,0.03591978180563785,31.18,0.68,533,-0.332833
BTH_RS12635,0,0.7606096163890456,32.42,0.6940000000000001,483,-0.404555
BTH_RS12640,0,0.0,35.31,0.6759999999999999,182,-0.396703
BTH_RS12645,0,0.0,34.11,0.6559999999999999,191,-0.526702
BTH_RS12655,0,0.0,41.69,0.585,69,0.581159
